# Krea 2 Turbo latency on RTX 3090 (Ampere, sm86)
# ComfyUI, 1024/512px, euler/simple, cfg 1.0, 3 seeds per config
# columns: modelo,res,steps,seed,wall_s
modelo,res,steps,seed,wall_s
fp8,1024,8,100,18.11
fp8,1024,8,101,15.57
fp8,1024,8,102,15.57
fp8,1024,4,100,8.03
fp8,1024,4,101,8.12
fp8,1024,4,102,8.02
fp8,1024,2,100,4.51
fp8,1024,2,101,4.52
fp8,1024,2,102,4.51
fp8,512,8,100,5.02
fp8,512,8,101,5.02
fp8,512,8,102,5.02
fp8,512,4,100,2.51
fp8,512,4,101,2.51
fp8,512,4,102,2.51
fp8,512,2,100,1.51
fp8,512,2,101,1.52
fp8,512,2,102,1.51
int8convrot,1024,8,100,8.66
int8convrot,1024,8,101,8.05
int8convrot,1024,8,102,8.04
int8convrot,1024,4,100,4.54
int8convrot,1024,4,101,4.52
int8convrot,1024,4,102,4.52
int8convrot,1024,2,100,2.51
int8convrot,1024,2,101,2.51
int8convrot,1024,2,102,2.51
int8convrot,512,8,100,2.25
int8convrot,512,8,101,2.01
int8convrot,512,8,102,2.01
int8convrot,512,4,100,1.51
int8convrot,512,4,101,1.51
int8convrot,512,4,102,1.51
int8convrot,512,2,100,1.01
int8convrot,512,2,101,1.01
int8convrot,512,2,102,1.01
mxfp8,1024,8,100,18.13
mxfp8,1024,8,101,17.74
mxfp8,1024,8,102,17.76
mxfp8,1024,4,100,9.03
mxfp8,1024,4,101,9.20
mxfp8,1024,4,102,9.03
mxfp8,1024,2,100,5.02
mxfp8,1024,2,101,5.02
mxfp8,1024,2,102,5.02
mxfp8,512,8,100,7.02
mxfp8,512,8,101,7.02
mxfp8,512,8,102,7.02
mxfp8,512,4,100,3.73
mxfp8,512,4,101,3.51
mxfp8,512,4,102,3.51
mxfp8,512,2,100,2.01
mxfp8,512,2,101,2.10
mxfp8,512,2,102,2.01
